trial,phase,elapsed_s,success,error
1,enrollment,4.669,True,
2,enrollment,4.678,True,
3,enrollment,4.641,True,
4,enrollment,3.529,True,
5,enrollment,3.511,True,
6,enrollment,3.507,True,
7,enrollment,3.539,True,
8,enrollment,4.655,True,
9,enrollment,4.681,True,
10,enrollment,4.663,True,
11,enrollment,4.678,True,
12,enrollment,4.657,True,
13,enrollment,3.524,True,
14,enrollment,3.506,True,
15,enrollment,3.537,True,
16,enrollment,3.507,True,
17,enrollment,4.686,True,
18,enrollment,4.669,True,
19,enrollment,4.642,True,
20,enrollment,4.697,True,
21,enrollment,4.665,True,
22,enrollment,4.675,True,
23,enrollment,4.67,True,
24,enrollment,4.687,True,
25,enrollment,4.66,True,
26,enrollment,4.697,True,
27,enrollment,4.65,True,
28,enrollment,4.664,True,
29,enrollment,3.527,True,
30,enrollment,4.681,True,
31,enrollment,4.666,True,
32,enrollment,4.652,True,
33,enrollment,4.643,True,
34,enrollment,4.686,True,
35,enrollment,4.647,True,
36,enrollment,4.693,True,
37,enrollment,3.527,True,
38,enrollment,3.519,True,
39,enrollment,4.683,True,
40,enrollment,4.628,True,
41,enrollment,4.692,True,
42,enrollment,4.648,True,
43,enrollment,4.658,True,
44,enrollment,4.647,True,
45,enrollment,4.644,True,
46,enrollment,3.538,True,
47,enrollment,3.529,True,
48,enrollment,3.564,True,
49,enrollment,4.634,True,
50,enrollment,4.647,True,
51,enrollment,4.62,True,
52,enrollment,4.659,True,
53,enrollment,4.68,True,
54,enrollment,3.522,True,
55,enrollment,3.527,True,
56,enrollment,3.535,True,
57,enrollment,3.552,True,
58,enrollment,3.503,True,
59,enrollment,3.528,True,
60,enrollment,3.519,True,
61,enrollment,3.51,True,
62,enrollment,4.659,True,
63,enrollment,4.682,True,
64,enrollment,5.825,True,
65,enrollment,4.697,True,
66,enrollment,4.69,True,
67,enrollment,4.631,True,
68,enrollment,4.641,True,
69,enrollment,4.682,True,
70,enrollment,4.652,True,
71,enrollment,4.724,True,
72,enrollment,3.519,True,
73,enrollment,4.666,True,
74,enrollment,3.492,True,
75,enrollment,3.55,True,
76,enrollment,3.523,True,
77,enrollment,3.523,True,
78,enrollment,3.559,True,
79,enrollment,3.534,True,
80,enrollment,4.655,True,
81,enrollment,4.695,True,
82,enrollment,4.664,True,
83,enrollment,4.658,True,
84,enrollment,4.686,True,
85,enrollment,4.623,True,
86,enrollment,4.643,True,
87,enrollment,4.667,True,
88,enrollment,4.669,True,
89,enrollment,4.687,True,
90,enrollment,3.537,True,
91,enrollment,3.54,True,
92,enrollment,4.663,True,
93,enrollment,4.647,True,
94,enrollment,4.665,True,
95,enrollment,4.645,True,
96,enrollment,4.652,True,
97,enrollment,4.612,True,
98,enrollment,4.622,True,
99,enrollment,4.634,True,
100,enrollment,4.633,True,
1,deploy,1.726,True,
2,deploy,1.648,True,
3,deploy,0.398,True,
4,deploy,1.634,True,
5,deploy,1.684,True,
6,deploy,1.656,True,
7,deploy,1.648,True,
8,deploy,1.682,True,
9,deploy,1.681,True,
10,deploy,1.627,True,
11,deploy,1.678,True,
12,deploy,0.421,True,
13,deploy,1.701,True,
14,deploy,0.402,True,
15,deploy,1.62,True,
16,deploy,1.659,True,
17,deploy,1.643,True,
18,deploy,1.654,True,
19,deploy,1.631,True,
20,deploy,1.675,True,
21,deploy,1.648,True,
22,deploy,1.673,True,
23,deploy,1.661,True,
24,deploy,1.666,True,
25,deploy,1.678,True,
26,deploy,1.672,True,
27,deploy,1.67,True,
28,deploy,1.651,True,
29,deploy,1.687,True,
30,deploy,1.672,True,
31,deploy,1.677,True,
32,deploy,1.675,True,
33,deploy,1.683,True,
34,deploy,1.693,True,
35,deploy,1.679,True,
36,deploy,1.67,True,
37,deploy,1.651,True,
38,deploy,1.693,True,
39,deploy,1.643,True,
40,deploy,1.675,True,
41,deploy,1.656,True,
42,deploy,1.652,True,
43,deploy,1.678,True,
44,deploy,1.671,True,
45,deploy,1.633,True,
46,deploy,1.679,True,
47,deploy,1.638,True,
48,deploy,1.665,True,
49,deploy,1.653,True,
50,deploy,1.664,True,
51,deploy,1.688,True,
52,deploy,1.688,True,
53,deploy,1.679,True,
54,deploy,1.694,True,
55,deploy,1.683,True,
56,deploy,1.656,True,
57,deploy,1.667,True,
58,deploy,1.697,True,
59,deploy,1.935,True,
60,deploy,1.672,True,
61,deploy,1.692,True,
62,deploy,1.712,True,
63,deploy,1.65,True,
64,deploy,0.407,True,
65,deploy,1.658,True,
66,deploy,1.621,True,
67,deploy,1.684,True,
68,deploy,1.641,True,
69,deploy,1.664,True,
70,deploy,1.633,True,
71,deploy,1.635,True,
72,deploy,1.621,True,
73,deploy,1.692,True,
74,deploy,2.911,True,
75,deploy,1.654,True,
76,deploy,1.673,True,
77,deploy,1.663,True,
78,deploy,1.662,True,
79,deploy,1.676,True,
80,deploy,1.675,True,
81,deploy,1.662,True,
82,deploy,1.672,True,
83,deploy,1.691,True,
84,deploy,1.679,True,
85,deploy,1.66,True,
86,deploy,2.955,True,
87,deploy,1.704,True,
88,deploy,1.675,True,
89,deploy,1.662,True,
90,deploy,2.931,True,
91,deploy,1.674,True,
92,deploy,1.662,True,
93,deploy,1.695,True,
94,deploy,1.768,True,
95,deploy,1.661,True,
96,deploy,1.659,True,
97,deploy,1.704,True,
98,deploy,4.21,True,
99,deploy,1.658,True,
100,deploy,1.643,True,
